"child_id","parent_id"
524ecd41-cd6d-46a1-ada0-dc8a8b971355,9521998e-2daf-4eaa-a907-264d05b443a9
524ecd41-cd6d-46a1-ada0-dc8a8b971355,82134218-0f6d-41e0-acba-7bd77ddf91d6
5c3fc9a6-c4ce-4577-bf8d-0950ba759643,be0db924-b39e-4aef-bc25-fdcaf10115bd
5c3fc9a6-c4ce-4577-bf8d-0950ba759643,9521998e-2daf-4eaa-a907-264d05b443a9
b424244a-1337-4362-844c-de0b93791056,d444e7a8-f335-406f-b47c-e4c6f9014ac1
b424244a-1337-4362-844c-de0b93791056,be0db924-b39e-4aef-bc25-fdcaf10115bd
de2ff178-3327-4529-8e65-c648e8146b96,3a3d171b-4aef-4b32-9ed0-c231c2493024
de2ff178-3327-4529-8e65-c648e8146b96,d444e7a8-f335-406f-b47c-e4c6f9014ac1
8dea4947-4f48-4670-aa98-88d8883b7016,3c39842d-372f-4235-a57b-9846b4eb9c7a
8dea4947-4f48-4670-aa98-88d8883b7016,3a3d171b-4aef-4b32-9ed0-c231c2493024
fb157368-46f8-44e3-82a4-7b14094743f7,d9b68548-9379-4689-a30c-5e668002334d
fb157368-46f8-44e3-82a4-7b14094743f7,3c39842d-372f-4235-a57b-9846b4eb9c7a
114d51e2-3dd3-4600-aa73-63e0ca067abf,d37088f4-5470-4983-b1a7-43e1569ab3f0
114d51e2-3dd3-4600-aa73-63e0ca067abf,d9b68548-9379-4689-a30c-5e668002334d
4f273a1a-73a7-4d3c-b745-dcde0103073b,de7052c0-6fea-4c22-a8cd-d4ca21a128fd
4f273a1a-73a7-4d3c-b745-dcde0103073b,d37088f4-5470-4983-b1a7-43e1569ab3f0
8c36da15-6a44-4177-8739-47aadf0cc549,fb08029c-4d75-49bc-9be8-476a6cb455b8
8c36da15-6a44-4177-8739-47aadf0cc549,de7052c0-6fea-4c22-a8cd-d4ca21a128fd
33a0a62a-af2d-457b-8168-224522f9699f,82134218-0f6d-41e0-acba-7bd77ddf91d6
33a0a62a-af2d-457b-8168-224522f9699f,fb08029c-4d75-49bc-9be8-476a6cb455b8
011b332a-dfdb-4060-9bc9-e9153978b4df,9521998e-2daf-4eaa-a907-264d05b443a9
011b332a-dfdb-4060-9bc9-e9153978b4df,82134218-0f6d-41e0-acba-7bd77ddf91d6
d1cf5a82-4d2b-47ab-8ab8-6aab177a6c6b,be0db924-b39e-4aef-bc25-fdcaf10115bd
d1cf5a82-4d2b-47ab-8ab8-6aab177a6c6b,9521998e-2daf-4eaa-a907-264d05b443a9
c8df18a8-edc5-42cd-931e-925fbf7b4e73,d444e7a8-f335-406f-b47c-e4c6f9014ac1
c8df18a8-edc5-42cd-931e-925fbf7b4e73,be0db924-b39e-4aef-bc25-fdcaf10115bd
aa965720-a5d8-426a-a36c-fc72a70566b5,3a3d171b-4aef-4b32-9ed0-c231c2493024
aa965720-a5d8-426a-a36c-fc72a70566b5,d444e7a8-f335-406f-b47c-e4c6f9014ac1
77ce45ec-1025-4a72-9bc4-f0279ab7a899,3c39842d-372f-4235-a57b-9846b4eb9c7a
77ce45ec-1025-4a72-9bc4-f0279ab7a899,3a3d171b-4aef-4b32-9ed0-c231c2493024
801f9cec-cd19-4f1d-b59d-24258fa14031,d9b68548-9379-4689-a30c-5e668002334d
801f9cec-cd19-4f1d-b59d-24258fa14031,3c39842d-372f-4235-a57b-9846b4eb9c7a
f90c4e04-fbf3-4f8c-a151-73239a53af3e,d37088f4-5470-4983-b1a7-43e1569ab3f0
f90c4e04-fbf3-4f8c-a151-73239a53af3e,d9b68548-9379-4689-a30c-5e668002334d
9a2edec3-9df9-4bb7-89c9-39cf8155018d,de7052c0-6fea-4c22-a8cd-d4ca21a128fd
9a2edec3-9df9-4bb7-89c9-39cf8155018d,d37088f4-5470-4983-b1a7-43e1569ab3f0
59fb9882-b44a-48ed-acd9-8cc6b1f8fd13,fb08029c-4d75-49bc-9be8-476a6cb455b8
59fb9882-b44a-48ed-acd9-8cc6b1f8fd13,de7052c0-6fea-4c22-a8cd-d4ca21a128fd
1bb2379f-7c23-49e5-b666-6936dc8e0976,82134218-0f6d-41e0-acba-7bd77ddf91d6
1bb2379f-7c23-49e5-b666-6936dc8e0976,fb08029c-4d75-49bc-9be8-476a6cb455b8
dd17a357-dab0-4372-8da5-9e6b25490873,9521998e-2daf-4eaa-a907-264d05b443a9
dd17a357-dab0-4372-8da5-9e6b25490873,82134218-0f6d-41e0-acba-7bd77ddf91d6
55d8ef98-14cf-4f4e-8c3b-d3ae2181e5e5,be0db924-b39e-4aef-bc25-fdcaf10115bd
55d8ef98-14cf-4f4e-8c3b-d3ae2181e5e5,9521998e-2daf-4eaa-a907-264d05b443a9
93a9bdbd-0a40-438a-80f2-9c2fe17178a1,d444e7a8-f335-406f-b47c-e4c6f9014ac1
93a9bdbd-0a40-438a-80f2-9c2fe17178a1,be0db924-b39e-4aef-bc25-fdcaf10115bd
031bd13c-76be-49f6-8d6d-3ac36a1a4b40,3a3d171b-4aef-4b32-9ed0-c231c2493024
