"id","child_id","entry_date","exit_date"
053eb037-be37-47c1-9f71-403f81b540cc,b044fc09-0ba4-4de4-9c58-9d5d204a3ec7,2023-01-02 09:11:00,2023-01-02 14:46:00
8b079b63-40b9-4fe6-a769-e8272a4cccf4,b044fc09-0ba4-4de4-9c58-9d5d204a3ec7,2023-01-03 09:11:00,2023-01-03 14:46:00
8bfac9f6-0894-448e-b8c7-344acb4f2cd2,b044fc09-0ba4-4de4-9c58-9d5d204a3ec7,2023-01-04 09:11:00,2023-01-04 14:46:00
6f515d17-da2e-40a8-bc43-029b2be20365,b044fc09-0ba4-4de4-9c58-9d5d204a3ec7,2023-01-05 09:11:00,2023-01-05 14:46:00
3f416e2f-d1ba-4e81-aa50-a545df476b72,b044fc09-0ba4-4de4-9c58-9d5d204a3ec7,2023-01-06 09:11:00,2023-01-06 14:46:00
e7f1a727-8503-4372-b4f5-d2b0db411a57,b044fc09-0ba4-4de4-9c58-9d5d204a3ec7,2023-01-07 09:11:00,2023-01-07 14:46:00
2c8d90a6-c9b0-494f-86df-ca93f5d7d429,b044fc09-0ba4-4de4-9c58-9d5d204a3ec7,2023-01-08 09:11:00,2023-01-08 14:46:00
05f9918f-ce4f-4bf2-a016-06800322ea85,b044fc09-0ba4-4de4-9c58-9d5d204a3ec7,2023-01-09 09:11:00,2023-01-09 14:46:00
f41609f3-49ce-44de-b038-399f7ed02657,b044fc09-0ba4-4de4-9c58-9d5d204a3ec7,2023-01-10 09:11:00,2023-01-10 14:46:00
74d954b9-615b-403e-84ba-0bb94b9fc5a9,720f12ff-b617-43e1-b084-10467eceaf7a,2023-01-03 11:10:00,2023-01-03 15:48:00
bc590cc8-f631-4b15-bd8c-523bf1fd0e4a,720f12ff-b617-43e1-b084-10467eceaf7a,2023-01-04 11:10:00,2023-01-04 15:48:00
d376290f-ea35-4c6c-8386-fda90c35ea51,720f12ff-b617-43e1-b084-10467eceaf7a,2023-01-05 11:10:00,2023-01-05 15:48:00
c3dbb323-e142-4db8-8655-9deb3edea465,720f12ff-b617-43e1-b084-10467eceaf7a,2023-01-06 11:10:00,2023-01-06 15:48:00
87a40531-b8b7-4e80-a0b7-bfeb7f63fbc5,720f12ff-b617-43e1-b084-10467eceaf7a,2023-01-07 11:10:00,2023-01-07 15:48:00
36508806-52f8-431c-a18d-a598dbafdbef,720f12ff-b617-43e1-b084-10467eceaf7a,2023-01-08 11:10:00,2023-01-08 15:48:00
35165bd1-df94-4298-95fa-ea9f3a05b915,720f12ff-b617-43e1-b084-10467eceaf7a,2023-01-09 11:10:00,2023-01-09 15:48:00
02619772-323d-4a93-a6d3-f8507c4db68a,720f12ff-b617-43e1-b084-10467eceaf7a,2023-01-10 11:10:00,2023-01-10 15:48:00
dc3b4ee4-dc3c-407c-8253-cfe2638a09ed,720f12ff-b617-43e1-b084-10467eceaf7a,2023-01-11 11:10:00,2023-01-11 15:48:00
f7ffcb65-c0f9-4114-91e3-3fb15176d18d,720f12ff-b617-43e1-b084-10467eceaf7a,2023-01-12 11:10:00,2023-01-12 15:48:00
f2c1529e-2bca-4cd4-b703-17bebafbe5e1,720f12ff-b617-43e1-b084-10467eceaf7a,2023-01-13 11:10:00,2023-01-13 15:48:00
843f0785-e8cc-472b-a42d-8d815b274463,649cbeaf-7a25-40b5-a6f4-415ca72726c1,2023-01-04 10:48:00,2023-01-04 13:42:00
e365dd72-7072-441a-af4e-226bfafdb0b3,649cbeaf-7a25-40b5-a6f4-415ca72726c1,2023-01-05 10:48:00,2023-01-05 13:42:00
b7d10883-4c07-4d75-8b6f-609c29282d23,649cbeaf-7a25-40b5-a6f4-415ca72726c1,2023-01-06 10:48:00,2023-01-06 13:42:00
e2a1e74a-264d-42a1-a4a7-f575f6ea652e,649cbeaf-7a25-40b5-a6f4-415ca72726c1,2023-01-07 10:48:00,2023-01-07 13:42:00
54aa43de-7d15-41f3-8c75-2d0e7ca68add,649cbeaf-7a25-40b5-a6f4-415ca72726c1,2023-01-08 10:48:00,2023-01-08 13:42:00
8c506e9a-bfdf-4130-bb5e-f277bd75fdb8,649cbeaf-7a25-40b5-a6f4-415ca72726c1,2023-01-09 10:48:00,2023-01-09 13:42:00
1a3c30e6-5eeb-435e-b8c0-503d3fe27c8f,b9d9a98f-bdfe-4cc2-b503-2d351afa2982,2023-01-05 09:55:00,2023-01-05 12:26:00
e2d42a4a-fbc7-41f9-9dd3-698a152916bb,b9d9a98f-bdfe-4cc2-b503-2d351afa2982,2023-01-06 09:55:00,2023-01-06 12:26:00
66e8a534-4647-4885-b3f7-d3dd997add78,b9d9a98f-bdfe-4cc2-b503-2d351afa2982,2023-01-07 09:55:00,2023-01-07 12:26:00
61432b12-53e4-4903-8b43-2dc851f17149,b9d9a98f-bdfe-4cc2-b503-2d351afa2982,2023-01-08 09:55:00,2023-01-08 12:26:00
ec5ffdaf-edc9-4538-8d4d-d9a5621ecab1,b9d9a98f-bdfe-4cc2-b503-2d351afa2982,2023-01-09 09:55:00,2023-01-09 12:26:00
77daf37c-330b-45d2-af93-cb0903ad0fea,b9d9a98f-bdfe-4cc2-b503-2d351afa2982,2023-01-10 09:55:00,2023-01-10 12:26:00
6fb05a10-c585-4654-8d04-1ba5653a9776,b9d9a98f-bdfe-4cc2-b503-2d351afa2982,2023-01-11 09:55:00,2023-01-11 12:26:00
8f468ed0-e20f-4480-9a13-123b3572254c,b9d9a98f-bdfe-4cc2-b503-2d351afa2982,2023-01-12 09:55:00,2023-01-12 12:26:00
5f0c17df-a444-4514-b9a7-2c8180bf48e1,b9d9a98f-bdfe-4cc2-b503-2d351afa2982,2023-01-13 09:55:00,2023-01-13 12:26:00
6c2aef4e-e603-4e41-8727-8caeff1914db,b9d9a98f-bdfe-4cc2-b503-2d351afa2982,2023-01-14 09:55:00,2023-01-14 12:26:00
95b39c0b-f2b1-4f0e-973c-be7f3a49e752,b9d9a98f-bdfe-4cc2-b503-2d351afa2982,2023-01-15 09:55:00,2023-01-15 12:26:00
13e75d83-2013-47c2-9aaf-8c3ba52204a5,e0f6f1c9-2757-4937-b2a2-590cec089bff,2023-01-06 06:51:00,2023-01-06 09:21:00
a576dc3f-0f8c-4c5a-b88b-78bb3eb640e4,e0f6f1c9-2757-4937-b2a2-590cec089bff,2023-01-07 06:51:00,2023-01-07 09:21:00
1b4fa521-e3a3-43b4-9539-fe607d2b9e1a,e0f6f1c9-2757-4937-b2a2-590cec089bff,2023-01-08 06:51:00,2023-01-08 09:21:00
2b7b4d67-5bf1-4a95-aaa7-015879d3b472,3233cd9e-263d-40c7-aab1-825f7ce3d9e5,2023-01-07 15:20:00,2023-01-07 21:36:00
34080527-7dc6-449b-81f8-879657475bb9,3233cd9e-263d-40c7-aab1-825f7ce3d9e5,2023-01-08 15:20:00,2023-01-08 21:36:00
71bf45cf-32c7-4221-8773-f46c1b443a20,3233cd9e-263d-40c7-aab1-825f7ce3d9e5,2023-01-09 15:20:00,2023-01-09 21:36:00
3809e413-0e25-4668-a383-f32eeb2e1572,70665c38-fedd-46cd-b186-78af51023c8d,2023-01-08 15:21:00,2023-01-08 21:34:00
0d49b73b-14aa-490b-8379-6961cd9ebad5,70665c38-fedd-46cd-b186-78af51023c8d,2023-01-09 15:21:00,2023-01-09 21:34:00
ec85346c-b8bb-427a-8d0c-5c973498bc13,70665c38-fedd-46cd-b186-78af51023c8d,2023-01-10 15:21:00,2023-01-10 21:34:00
6a8b1dd8-ea91-40ba-aa74-b4dceb7d014b,70665c38-fedd-46cd-b186-78af51023c8d,2023-01-11 15:21:00,2023-01-11 21:34:00
737afcd6-c8ed-4efe-a9bb-1de04bc55896,70665c38-fedd-46cd-b186-78af51023c8d,2023-01-12 15:21:00,2023-01-12 21:34:00
32c7c5d9-8c8b-409c-b357-fdbf0c639b53,70665c38-fedd-46cd-b186-78af51023c8d,2023-01-13 15:21:00,2023-01-13 21:34:00
1068624f-c66e-4491-9e6e-930e01e4f445,70665c38-fedd-46cd-b186-78af51023c8d,2023-01-14 15:21:00,2023-01-14 21:34:00
b65035cd-00b1-4cc8-8ee3-18da99b7a356,caea466f-bfa5-48c9-b156-b7c069d24368,2023-01-09 09:16:00,2023-01-09 11:33:00
42daccee-d1d9-4b2e-964d-3eba1be5d860,caea466f-bfa5-48c9-b156-b7c069d24368,2023-01-10 09:16:00,2023-01-10 11:33:00
655c7acc-556f-4c71-b4ae-4eb31b68c7df,caea466f-bfa5-48c9-b156-b7c069d24368,2023-01-11 09:16:00,2023-01-11 11:33:00
8d6b26c7-4ac8-4fc2-a8ee-012323ead162,caea466f-bfa5-48c9-b156-b7c069d24368,2023-01-12 09:16:00,2023-01-12 11:33:00
af2346f8-2445-4d59-a362-60f2533cd619,caea466f-bfa5-48c9-b156-b7c069d24368,2023-01-13 09:16:00,2023-01-13 11:33:00
56ea5eab-91e3-4bed-8115-156a5321e132,caea466f-bfa5-48c9-b156-b7c069d24368,2023-01-14 09:16:00,2023-01-14 11:33:00
ca466368-3709-4c94-9eb9-dd49049bfa46,caea466f-bfa5-48c9-b156-b7c069d24368,2023-01-15 09:16:00,2023-01-15 11:33:00
d91f106f-6e98-4331-9ccb-e65dea14dc0b,caea466f-bfa5-48c9-b156-b7c069d24368,2023-01-16 09:16:00,2023-01-16 11:33:00
01c37786-73d3-4f58-b929-729d269c901a,caea466f-bfa5-48c9-b156-b7c069d24368,2023-01-17 09:16:00,2023-01-17 11:33:00
909b1611-d278-4905-ab32-8b9b0279fc0e,caea466f-bfa5-48c9-b156-b7c069d24368,2023-01-18 09:16:00,2023-01-18 11:33:00
41efea3c-832d-4aa6-8209-f79c937dd637,caea466f-bfa5-48c9-b156-b7c069d24368,2023-01-19 09:16:00,2023-01-19 11:33:00
0f5bcf15-27b6-4b0e-b903-97c6442e1d87,302a91be-fc26-4319-bf71-9d45a0eda423,2023-01-10 08:34:00,2023-01-10 12:09:00
6628485e-d8e2-482c-a8d3-faeaaa9b21a4,302a91be-fc26-4319-bf71-9d45a0eda423,2023-01-11 08:34:00,2023-01-11 12:09:00
b5e2a128-e9a6-45b6-acce-a18efb4b15a6,302a91be-fc26-4319-bf71-9d45a0eda423,2023-01-12 08:34:00,2023-01-12 12:09:00
71ca4961-7b4f-4111-9014-e0f5d663236c,302a91be-fc26-4319-bf71-9d45a0eda423,2023-01-13 08:34:00,2023-01-13 12:09:00
03e451cb-acdd-4ae5-a160-37f251d6bf38,302a91be-fc26-4319-bf71-9d45a0eda423,2023-01-14 08:34:00,2023-01-14 12:09:00
